Campaign	Ad Group	Ad type	Headline 1	Headline 2	Headline 3	Headline 4	Headline 5	Headline 6	Headline 7	Headline 8	Headline 9	Headline 10	Headline 11	Headline 12	Headline 13	Headline 14	Headline 15	Description 1	Description 2	Description 3	Description 4	Path 1	Path 2	Final URL	Status
SER#EN_Automotive	Dynamic Ads Auto	Responsive search ad	MyDigipal Dynamic Ads	Auto Inventory to Ads	Car Dealership Ads	Facebook Ads Automotive	One Catalog All Platforms	Free Quote for Dealers	85% Lower Ad Costs	7x More Car Leads	Dynamic Ads Experts	Book Your Auto Demo	Instagram Car Ads	Google Display Autos	Sell More Cars Online	Real-Time Inventory Ads	Automotive Ad Agency	MyDigipal turns your car inventory into dynamic ads on Facebook, Instagram and Google automatically.	One catalog powers all your automotive ads. Sell more cars with 85% lower costs and 7x more leads.	Dynamic ads show the right cars to the right buyers. Real-time inventory sync across all platforms.	Calculate your dealership's ad ROI. See how dynamic ads can transform your automotive marketing.	dynamic	ads	https://mydigipal.com/en/automotive/dynamic-ads	Enabled
SER#EN_Automotive	Google Ads Dealership	Responsive search ad	MyDigipal Auto Google	Google Ads Dealership	Car Dealer PPC Agency	Automotive Search Ads	Dominate Car Searches	Free Dealer Quote	-30% Cost Per Lead	188K Clicks Generated	Auto PPC Experts	Book Your Auto Demo	Vehicle Listing Ads	YouTube Car Campaigns	Sell More Cars Fast	Top of Search Results	Automotive Ad Agency	MyDigipal puts your dealership at the top of Google when car buyers search. 188K clicks generated.	Automotive Google Ads experts: Search, Display, YouTube, Vehicle Listing Ads for your dealership.	Be there when buyers search for cars. Our automotive PPC delivers -30% cost per lead guaranteed.	Calculate your dealership's Google Ads ROI. See how much you could save with expert management.	google	ads	https://mydigipal.com/en/automotive/google-ads	Enabled
SER#EN_Automotive	Paid Social Auto	Responsive search ad	MyDigipal Auto Social	Social Ads Dealership	Facebook Car Dealer Ads	Instagram Automotive	Target Car Buyers	Free Quote Dealership	47% Conversion Rate	24M Impressions Served	Social Auto Experts	Book Your Demo Today	Retarget Car Shoppers	TikTok Automotive Ads	Sell Cars on Social	300K Clicks Generated	Auto Social Agency	MyDigipal runs social ads for car dealerships that convert. 47% conversion rate, 24M impressions.	Facebook, Instagram, TikTok ads for your dealership. Reach car buyers where they spend their time.	Retarget visitors who viewed your inventory. Turn social scrollers into car buyers with our ads.	Calculate your social ads ROI for automotive. See how paid social can boost your dealership sales.	paid	social	https://mydigipal.com/en/automotive/paid-social	Enabled
SER#FR_Automotive	Dynamic Ads Auto	Responsive search ad	MyDigipal Dynamic Ads	Inventaire Auto en Pubs	Pubs Concession Auto	Facebook Ads Automobile	Un Catalogue Toutes Pubs	Devis Gratuit Concess	Coûts Pub -85%	7x Plus de Leads Auto	Experts Dynamic Ads	Réservez Votre Démo	Instagram Pubs Auto	Google Display Auto	Vendez Plus de Voitures	Pubs Inventaire Temps Réel	Agence Pub Automobile	MyDigipal transforme votre inventaire auto en pubs dynamiques sur Facebook, Instagram et Google.	Un catalogue alimente toutes vos pubs auto. Vendez plus avec -85% de coûts et 7x plus de leads.	Les dynamic ads montrent les bonnes voitures aux bons acheteurs. Sync inventaire temps réel.	Calculez le ROI pub de votre concession. Découvrez comment les dynamic ads transforment vos ventes.	dynamic	ads	https://mydigipal.com/fr/automotive/dynamic-ads	Enabled
SER#FR_Automotive	Google Ads Dealership	Responsive search ad	MyDigipal Auto Google	Google Ads Concession	Agence PPC Automobile	Pub Search Automobile	Dominez les Recherches	Devis Gratuit Concess	Coût par Lead -30%	188K Clics Générés	Experts PPC Auto	Réservez Votre Démo	Vehicle Listing Ads	YouTube Pubs Auto	Vendez Plus Vite	Top des Résultats	Agence Pub Automobile	MyDigipal place votre concession en haut de Google quand les acheteurs recherchent. 188K clics générés.	Experts Google Ads automobile: Search, Display, YouTube, Vehicle Listing Ads pour concessions.	Soyez là quand les acheteurs cherchent. Notre PPC auto garantit -30% de coût par lead.	Calculez le ROI Google Ads de votre concession. Voyez combien vous économiseriez avec nos experts.	google	ads	https://mydigipal.com/fr/automotive/google-ads	Enabled
SER#FR_Automotive	Paid Social Auto	Responsive search ad	MyDigipal Social Auto	Pub Social Concession	Facebook Pub Automobile	Instagram Automobile	Ciblez Acheteurs Auto	Devis Concession	Taux Conversion 47%	24M Impressions	Experts Social Auto	Réservez Votre Démo	Retargetez Visiteurs	TikTok Pub Automobile	Vendez Sur Les Réseaux	300K Clics Générés	Agence Social Auto	MyDigipal gère les pubs social pour concessions qui convertissent. 47% de conversion, 24M impressions.	Facebook, Instagram, TikTok pour votre concession. Atteignez les acheteurs là où ils passent du temps.	Retargetez les visiteurs de votre inventaire. Convertissez les scrolleurs en acheteurs avec nos pubs.	Calculez votre ROI pub social automobile. Découvrez comment le paid social booste vos ventes.	paid	social	https://mydigipal.com/fr/automotive/paid-social	Enabled
SER#EN_DigitalMarketing	Google Ads Agency	Responsive search ad	MyDigipal Google Ads	PPC Agency Experts	Google Ads Management	Search Display YouTube	+225% Traffic Increase	Get Your Free Quote	57% Conversion Boost	-30% Cost per Lead	Google Partner Agency	Book Your PPC Demo	Performance Max Pros	Shopping Ads Expert	Maximize Your ROAS	Smart Bidding Setup	Certified PPC Agency	MyDigipal manages Google Ads that drive results: +225% traffic increase and 57% conversion boost.	Search, Display, YouTube, Performance Max, Shopping - full Google Ads management by certified experts.	Smart bidding strategies optimized for your KPIs. We maximize ROAS while minimizing cost per lead.	Calculate your Google Ads ROI potential. See how much revenue expert PPC management could generate.	google	ads	https://mydigipal.com/en/services/google-ads	Enabled
SER#EN_DigitalMarketing	Paid Social Agency	Responsive search ad	MyDigipal Paid Social	Facebook Ads Agency	LinkedIn Ads Experts	Meta Ads Management	Target Decision Makers	Get Your Free Quote	-45% Cost per Lead	3.2x ROAS Improvement	Social Ads Agency	Book Your Demo Today	Instagram Ads Expert	B2B Social Campaigns	TikTok Advertising	Multi-Platform Social	900M+ LinkedIn Reach	MyDigipal runs paid social that reaches decision makers: LinkedIn, Meta, TikTok with measurable ROI.	-45% cost per lead and 3.2x ROAS improvement. Data-driven social advertising that actually converts.	Target B2B decision makers where they spend time. LinkedIn, Facebook, Instagram campaigns that work.	Calculate your paid social ROI. See how much pipeline you could generate with expert social ads.	paid	social	https://mydigipal.com/en/services/paid-social	Enabled
SER#EN_DigitalMarketing	Email Marketing	Responsive search ad	MyDigipal Emailing	Email Marketing Agency	B2B Email Campaigns	AI-Powered Emails	$36 ROI Per $1 Spent	Get Your Free Quote	760% Revenue Boost	122% Higher Opens	Email Experts	Book Your Demo Today	Automation Sequences	Lead Nurturing Emails	Personalized Campaigns	CRM Email Integration	GDPR Compliant	MyDigipal's email marketing delivers $36 ROI for every $1 spent. AI-powered personalization at scale.	760% revenue boost with proper segmentation. We set up email automation that nurtures and converts.	From software setup to campaign management. B2B email marketing that fills your pipeline with leads.	Calculate your email marketing ROI. See how much revenue personalized email campaigns could generate.	email	marketing	https://mydigipal.com/en/services/emailing	Enabled
SER#EN_DigitalMarketing	SEO Agency	Responsive search ad	MyDigipal SEO Agency	Organic Search Experts	SEO Services for B2B	Rank Higher on Google	Long-Term Traffic Growth	Get Your Free Quote	Technical SEO Audit	Content Optimization	SEO Strategy Experts	Book Your SEO Demo	Link Building Services	Local SEO for Business	E-commerce SEO	On-Page Optimization	Sustainable Rankings	MyDigipal delivers SEO that drives sustainable organic traffic growth. Technical, content and links.	Comprehensive SEO services: technical audits, content optimization, link building for lasting results.	Rank higher on Google and drive qualified organic traffic. B2B SEO strategies that convert visitors.	Calculate your SEO ROI potential. See how much traffic and revenue organic search could generate.	seo	agency	https://mydigipal.com/en/services/seo	Enabled
SER#FR_DigitalMarketing	Google Ads Agency	Responsive search ad	MyDigipal Google Ads	Agence PPC Experte	Gestion Google Ads	Search Display YouTube	Trafic +225%	Devis Gratuit	Conversions +57%	Coût Lead -30%	Agence Google Partner	Réservez Votre Démo	Experts Performance Max	Shopping Ads Expert	Maximisez Votre ROAS	Smart Bidding Optimisé	Agence PPC Certifiée	MyDigipal gère vos Google Ads pour des résultats: +225% de trafic et +57% de conversions garantis.	Search, Display, YouTube, Performance Max, Shopping - gestion complète par des experts certifiés.	Stratégies d'enchères optimisées pour vos KPIs. Nous maximisons le ROAS en réduisant le coût lead.	Calculez votre ROI Google Ads potentiel. Découvrez combien de revenus le PPC expert peut générer.	google	ads	https://mydigipal.com/fr/services/google-ads	Enabled
SER#FR_DigitalMarketing	Paid Social Agency	Responsive search ad	MyDigipal Paid Social	Agence Facebook Ads	Experts LinkedIn Ads	Gestion Meta Ads	Ciblez les Décideurs	Devis Gratuit	Coût Lead -45%	ROAS Amélioré 3.2x	Agence Social Ads	Réservez Votre Démo	Expert Instagram Ads	Campagnes Social B2B	Publicité TikTok	Multi-Plateforme Social	900M+ Reach LinkedIn	MyDigipal gère le paid social qui atteint les décideurs: LinkedIn, Meta, TikTok avec ROI mesurable.	-45% coût par lead et 3.2x amélioration ROAS. Publicité sociale data-driven qui convertit vraiment.	Ciblez les décideurs B2B là où ils passent du temps. Campagnes LinkedIn, Facebook, Instagram.	Calculez votre ROI paid social. Découvrez combien de pipeline vous pourriez générer avec nos experts.	paid	social	https://mydigipal.com/fr/services/paid-social	Enabled
SER#FR_DigitalMarketing	Email Marketing	Responsive search ad	MyDigipal Emailing	Agence Email Marketing	Campagnes Email B2B	Emails Propulsés par IA	36€ ROI Par 1€ Investi	Devis Gratuit	Revenus +760%	Ouvertures +122%	Experts Email	Réservez Votre Démo	Séquences Automation	Emails Nurturing Leads	Campagnes Personnalisées	Intégration CRM Email	Conforme RGPD	L'email marketing MyDigipal génère 36€ de ROI pour chaque 1€ investi. Personnalisation IA à grande échelle.	+760% de revenus avec une segmentation adaptée. Automation email qui nurture et convertit efficacement.	Du setup logiciel à la gestion campagne. Email marketing B2B qui remplit votre pipeline de leads.	Calculez votre ROI email marketing. Découvrez combien de revenus les emails personnalisés génèrent.	email	marketing	https://mydigipal.com/fr/services/emailing	Enabled
SER#FR_DigitalMarketing	SEO Agency	Responsive search ad	Agence SEO MyDigipal	Experts Référencement	SEO Services B2B	Rankez Plus Haut Google	Trafic Organique Durable	Devis Gratuit	Audit SEO Technique	Optimisation Contenu	Experts Stratégie SEO	Réservez Votre Démo	Netlinking de Qualité	SEO Local Entreprise	SEO E-commerce	Optimisation On-Page	Rankings Durables	MyDigipal livre un SEO qui génère du trafic organique durable. Technique, contenu et liens inclus.	Services SEO complets: audits techniques, optimisation contenu, netlinking pour des résultats durables.	Rankez plus haut sur Google et générez du trafic organique qualifié. Stratégies SEO B2B qui convertissent.	Calculez votre potentiel ROI SEO. Découvrez combien de trafic et revenus le référencement génère.	seo	agence	https://mydigipal.com/fr/services/seo	Enabled
SER#EN_AITraining	AI Training General	Responsive search ad	MyDigipal AI Training	Train Your Team on AI	Enterprise AI Workshop	Practical AI Course	2500+ People Trained	Get Your Free Quote	Rating 9.4 Out of 10	Overcome AI Fear	AI Training Experts	Book Your AI Session	AI for Business Teams	Hands-On AI Learning	Future-Proof Skills	Boost Productivity 40%	Corporate AI Program	MyDigipal has trained 2500+ people on AI with 9.4/10 rating. Practical workshops that deliver results.	Overcome the fear of AI with hands-on training. Your team will boost productivity by 40% or more.	From ChatGPT to enterprise AI tools. We make AI accessible and practical for every team member.	Calculate your AI training ROI. See how much productivity your team could gain with proper AI skills.	ai	training	https://mydigipal.com/en/services/ai-training	Enabled
SER#EN_AITraining	ChatGPT Training	Responsive search ad	MyDigipal ChatGPT	ChatGPT for Business	Master ChatGPT Today	ChatGPT Workshop Team	Learn the CRAFT Method	Get Your Free Quote	2500+ People Trained	Practical Prompt Skills	ChatGPT Experts	Book Your Session	ChatGPT Enterprise Use	Advanced Prompting	Boost Team Efficiency	ChatGPT Best Practices	Corporate ChatGPT	MyDigipal's ChatGPT training teaches the CRAFT method. 2500+ professionals trained with 9.4/10 rating.	Master ChatGPT for your business. Practical use cases for marketing, HR, finance and operations.	Learn advanced prompting techniques, style transfer and file-based workflows. Hands-on ChatGPT workshop.	Calculate your ChatGPT training ROI. See how much time your team could save with proper skills.	chatgpt	training	https://mydigipal.com/en/services/ai-training	Enabled
SER#EN_AITraining	Copilot Training	Responsive search ad	MyDigipal Copilot	Microsoft Copilot Pro	Master Copilot Today	Copilot Workshop Teams	Learn Copilot for Work	Get Your Free Quote	Certified Trainers	Practical Copilot Use	Copilot Experts	Book Your Session	Copilot for Business	Excel Word PowerPoint	Boost Microsoft 365	Copilot Best Practices	Corporate Copilot	MyDigipal's Microsoft Copilot training makes your team productive in Word, Excel, PowerPoint and more.	Master Copilot across Microsoft 365. Practical workshops that show real business applications daily.	Learn to leverage Copilot for documents, spreadsheets, presentations. Hands-on corporate training.	Calculate your Copilot training ROI. See how much productivity your team could gain with Copilot.	copilot	training	https://mydigipal.com/en/services/ai-training	Enabled
SER#EN_AITraining	Claude Training	Responsive search ad	MyDigipal Claude AI	Anthropic Claude Expert	Master Claude AI Today	Claude Workshop Teams	Learn Claude for Work	Get Your Free Quote	Advanced AI Training	Practical Claude Use	Claude AI Experts	Book Your Session	Claude for Business	Long-Form Content	Research Assistant AI	Claude Best Practices	Corporate Claude	MyDigipal's Claude AI training teaches advanced reasoning and long-form content creation techniques.	Master Anthropic Claude for business. Learn research, analysis, and content workflows that save hours.	Claude AI for complex tasks: research, writing, analysis. Hands-on workshop for professional teams.	Calculate your Claude training ROI. See how much time your team could save with Claude AI skills.	claude	training	https://mydigipal.com/en/services/ai-training	Enabled
SER#EN_AITraining	Gemini Training	Responsive search ad	MyDigipal Gemini AI	Google Gemini Expert	Master Gemini Today	Gemini Workshop Teams	Learn Gemini for Work	Get Your Free Quote	Google AI Training	Practical Gemini Use	Gemini AI Experts	Book Your Session	Gemini for Business	Multimodal AI Skills	Google Workspace AI	Gemini Best Practices	Corporate Gemini	MyDigipal's Google Gemini training teaches multimodal AI and Google Workspace integration effectively.	Master Gemini for business. Learn image, text and code workflows that boost productivity significantly.	Google Gemini for enterprise: multimodal AI for research, content, analysis. Professional training.	Calculate your Gemini training ROI. See how much productivity your team could gain with Gemini AI.	gemini	training	https://mydigipal.com/en/services/ai-training	Enabled
SER#FR_AITraining	AI Training General	Responsive search ad	Formation IA MyDigipal	Formez Vos Équipes IA	Workshop IA Entreprise	Formation IA Pratique	2500+ Personnes Formées	Devis Gratuit	Note Moyenne 9.4/10	Surmontez la Peur IA	Experts Formation IA	Réservez Votre Session	IA Pour Équipes	Apprentissage IA Pratique	Compétences du Futur	Productivité +40%	Programme IA Corporate	MyDigipal a formé 2500+ personnes à l'IA avec une note de 9.4/10. Workshops pratiques qui délivrent.	Surmontez la peur de l'IA avec une formation pratique. Votre équipe gagnera 40% de productivité ou plus.	De ChatGPT aux outils IA enterprise. Nous rendons l'IA accessible et pratique pour chaque membre.	Calculez le ROI de votre formation IA. Découvrez combien de productivité votre équipe peut gagner.	formation	ia	https://mydigipal.com/fr/services/ai-training	Enabled
SER#FR_AITraining	ChatGPT Training	Responsive search ad	Formation ChatGPT	ChatGPT pour Entreprise	Maîtrisez ChatGPT	Workshop ChatGPT Équipe	Apprenez Méthode CRAFT	Devis Gratuit	2500+ Personnes Formées	Compétences Prompt Pro	Experts ChatGPT	Réservez Votre Session	ChatGPT Enterprise	Prompting Avancé	Efficacité Équipe	ChatGPT Meilleures Pratiques	ChatGPT Corporate	La formation ChatGPT MyDigipal enseigne la méthode CRAFT. 2500+ pros formés avec note 9.4/10.	Maîtrisez ChatGPT pour votre business. Cas pratiques pour marketing, RH, finance et opérations.	Apprenez le prompting avancé, le style transfer et les workflows fichiers. Workshop ChatGPT pratique.	Calculez le ROI formation ChatGPT. Découvrez combien de temps votre équipe pourrait économiser.	formation	chatgpt	https://mydigipal.com/fr/services/ai-training	Enabled
SER#FR_AITraining	Copilot Training	Responsive search ad	Formation Copilot	Microsoft Copilot Pro	Maîtrisez Copilot	Workshop Copilot Équipe	Copilot Pour le Travail	Devis Gratuit	Formateurs Certifiés	Copilot Pratique	Experts Copilot	Réservez Votre Session	Copilot Entreprise	Excel Word PowerPoint	Boostez Microsoft 365	Copilot Best Practices	Copilot Corporate	La formation Microsoft Copilot MyDigipal rend votre équipe productive sur Word, Excel, PowerPoint.	Maîtrisez Copilot sur Microsoft 365. Workshops pratiques avec applications business quotidiennes.	Apprenez Copilot pour documents, tableurs, présentations. Formation corporate pratique et concrète.	Calculez le ROI formation Copilot. Découvrez la productivité que votre équipe peut gagner.	formation	copilot	https://mydigipal.com/fr/services/ai-training	Enabled
SER#FR_AITraining	Claude Training	Responsive search ad	Formation Claude AI	Expert Anthropic Claude	Maîtrisez Claude IA	Workshop Claude Équipe	Claude Pour le Travail	Devis Gratuit	Formation IA Avancée	Claude Pratique	Experts Claude AI	Réservez Votre Session	Claude Entreprise	Contenu Long Format	IA Assistant Recherche	Claude Best Practices	Claude Corporate	La formation Claude AI MyDigipal enseigne le raisonnement avancé et la création de contenu long format.	Maîtrisez Anthropic Claude pour le business. Recherche, analyse et workflows qui économisent des heures.	Claude AI pour tâches complexes: recherche, rédaction, analyse. Workshop pratique pour équipes pro.	Calculez le ROI formation Claude. Découvrez combien de temps votre équipe peut économiser avec Claude.	formation	claude	https://mydigipal.com/fr/services/ai-training	Enabled
SER#FR_AITraining	Gemini Training	Responsive search ad	Formation Gemini IA	Expert Google Gemini	Maîtrisez Gemini	Workshop Gemini Équipe	Gemini Pour le Travail	Devis Gratuit	Formation Google IA	Gemini Pratique	Experts Gemini AI	Réservez Votre Session	Gemini Entreprise	IA Multimodale	Google Workspace IA	Gemini Best Practices	Gemini Corporate	La formation Google Gemini MyDigipal enseigne l'IA multimodale et l'intégration Google Workspace.	Maîtrisez Gemini pour le business. Workflows image, texte et code qui boostent la productivité.	Google Gemini enterprise: IA multimodale pour recherche, contenu, analyse. Formation professionnelle.	Calculez le ROI formation Gemini. Découvrez la productivité que votre équipe peut gagner avec Gemini.	formation	gemini	https://mydigipal.com/fr/services/ai-training	Enabled
