Type;Fichier;Langue;Actuel;Longueur Actuelle;Longueur Finale;Proposition;Longueur Proposition;Longueur Finale Proposition
TITLE_TROP_LONG;blog/en/eu-ai-act-marketing-audit.mdx;EN;EU AI Act Compliance: Your 5-Step Marketing Tools Audit Before February 2026;76;91;EU AI Act: 5-Step Marketing Audit Before Feb 2026;50;65
TITLE_TROP_LONG;blog/en/how-to-train-teams-on-ai.mdx;EN;How to Train Your Team on AI: Scalable Methods and Use Cases;60;75;Train Your Team on AI: Methods and Use Cases;44;59
TITLE_TROP_LONG;case-studies/en/symbl-ai.mdx;EN;From Code to Digital Campaigns: Scaling a Developer-First Company;65;80;Symbl.ai: Scaling a Developer-First Company;43;58
TITLE_TROP_LONG;case-studies/en/vulcain-group.mdx;EN;Digital Strategy & Lead Generation for Automotive Group;55;70;Vulcain Group: Digital Strategy for Automotive;46;61
TITLE_TROP_LONG;case-studies/en/dmd-group.mdx;EN;Multi-Channel Digital Transformation for Automotive Group;56;71;DMD Group: Multi-Channel Digital Transformation;47;62
TITLE_TROP_LONG;case-studies/en/theobald-group.mdx;EN;Unified Digital Strategy for 31 Dealership Network;50;65;Theobald: Digital Strategy for 31 Dealerships;45;60
TITLE_TROP_LONG;automotive/fr/dynamic-ads.mdx;FR;Dynamic Ads pour Concessionnaires;33;48;Dynamic Ads Concessionnaires Auto;33;48
DESC_TROP_LONGUE;automotive/fr/paid-social.mdx;FR;Atteignez des millions d utilisateurs grace a des publicites ciblees sur les reseaux sociaux augmentant la visibilite de votre marque et connectant avec des acheteurs potentiels. Developpez votre notoriete attirez des leads et fidelisez vos clients.;250;;Atteignez des millions d utilisateurs avec des publicites ciblees sur les reseaux sociaux. Developpez votre notoriete et attirez des leads qualifies.;150;
DESC_TROP_LONGUE;automotive/en/paid-social.mdx;EN;Reach millions of users through targeted ads on social media increasing brand visibility and connecting with potential car buyers. Boost awareness attract leads and retain clients by developing an engaging strategic social media plan.;233;;Reach millions through targeted social ads. Increase brand visibility and connect with potential car buyers. Boost awareness and attract leads.;143;
DESC_TROP_LONGUE;automotive/fr/google-ads.mdx;FR;Positionnez-vous en tete des recherches automobiles sur Google. Beneficiez d un positionnement privilegie sur les recherches les plus strategiques augmentez la visibilite de vos concessions et mettez en avant vos vehicules neufs et d occasion aupres des bons utilisateurs au bon moment.;286;;Positionnez-vous en tete des recherches auto Google. Augmentez la visibilite de vos concessions et ciblez les bons acheteurs au bon moment.;142;
DESC_TROP_LONGUE;automotive/en/google-ads.mdx;EN;Get to the top of automotive-related queries on search engines. Benefit from privileged positioning on the most strategic Google searches increase the visibility of your car dealerships and highlight your new and used cars to the right users at the right time.;260;;Top automotive searches on Google. Privileged positioning increased dealership visibility and targeted ads for new and used cars at the right time.;147;
DESC_TROP_LONGUE;services/fr/ai-training.mdx;FR;Formation IA pratique et personnalisee qui permet a votre equipe de travailler plus intelligemment. De ChatGPT aux solutions IA d entreprise nous rendons l IA accessible a tous.;180;;Formation IA pratique pour votre equipe. De ChatGPT aux solutions IA d entreprise rendez l IA accessible a tous.;112;
DESC_TROP_LONGUE;services/fr/ai-solutions.mdx;FR;Solutions IA personnalisees qui transforment vos operations. Des chatbots a l automatisation en passant par l analyse de donnees - nous creons l IA qui travaille pour vous.;172;;Solutions IA personnalisees : chatbots automatisation et analyse de donnees. L IA qui travaille pour vous.;103;
DESC_TROP_LONGUE;services/fr/tracking-reporting.mdx;FR;Configuration de tracking complete et reporting perspicace qui transforme les donnees en decisions actionnables. De GA4 aux dashboards personnalises nous rendons votre marketing mesurable.;188;;Tracking complet et reporting qui transforme les donnees en decisions. GA4 GTM et dashboards pour un marketing mesurable.;116;
DESC_TROP_LONGUE;services/fr/google-ads.mdx;FR;Placez votre site en tete des recherches pertinentes avec Google Ads. Connectez-vous avec votre audience cible au moment et a l endroit ou ca compte en delivrant le bon message au bon moment.;193;;Placez votre site en tete des recherches Google. Connectez avec votre audience cible au bon moment avec le bon message.;118;
DESC_TROP_LONGUE;services/fr/emailing.mdx;FR;Transformez votre email marketing avec la personnalisation IA. De la mise en place du logiciel a la gestion des campagnes nous vous aidons a atteindre votre audience avec des emails qui convertissent.;199;;Transformez votre email marketing avec l IA. Configuration gestion de campagnes et emails personnalises qui convertissent.;115;
DESC_TROP_LONGUE;services/en/tracking-reporting.mdx;EN;Comprehensive tracking setup and insightful reporting that transforms data into actionable decisions. From GA4 to custom dashboards we make your marketing measurable.;165;;Complete tracking and reporting that turns data into decisions. GA4 GTM and custom dashboards for measurable marketing.;114;
DESC_TROP_LONGUE;services/en/ai-solutions.mdx;EN;Custom AI solutions that transform your business operations. From chatbots and automation to data analysis and intelligent workflows - we build AI that works for you.;166;;Custom AI solutions: chatbots automation data analysis and intelligent workflows. AI that works for you.;103;
DESC_TROP_LONGUE;services/en/ai-training.mdx;EN;Practical tailored AI training that empowers your team to work smarter. From ChatGPT to enterprise AI solutions we make AI accessible for everyone.;151;;Practical AI training for your team. From ChatGPT to enterprise solutions we make AI accessible.;96;
DESC_TROP_LONGUE;services/en/google-ads.mdx;EN;Get your website at the top of relevant search queries with Google Ads. Connect with your target audience when and where it matters most delivering the right message at the right time.;185;;Get to the top of Google search results. Connect with your target audience at the right time with the right message.;115;
DESC_TROP_LONGUE;services/en/emailing.mdx;EN;Transform your email marketing with AI-powered personalization. From software setup to campaign management we help you reach your audience the right way with emails that convert.;178;;Transform email marketing with AI personalization. Setup campaign management and emails that convert.;100;
DESC_TROP_LONGUE;blog/fr/ai-powered-content-personalization-dynamic-website-abm.mdx;FR;Decouvrez comment la personnalisation de contenu pilotee par l IA transforme les sites web B2B statiques en experiences dynamiques et specifiques aux comptes accelerant la velocite du pipeline ABM et augmentant les taux de conversion jusqu a 68 pourcent.;244;;L IA transforme les sites B2B en experiences dynamiques ABM. Accelerez le pipeline et augmentez les conversions de 68 pourcent.;118;
DESC_TROP_LONGUE;blog/fr/beware-of-scammers.mdx;FR;Des arnaqueurs usurpent l identite de MyDigipal avec de fausses offres d emploi ! Ils contactent les victimes via WhatsApp et les dirigent vers des sites frauduleux. Restez vigilants !;184;;Alerte : des arnaqueurs usurpent MyDigipal avec de fausses offres d emploi via WhatsApp. Restez vigilants !;105;
DESC_TROP_LONGUE;blog/fr/first-party-data-auto-dealerships-post-cookie.mdx;FR;L avenir sans cookies transforme la maniere dont les concessionnaires automobiles atteignent et convertissent les acheteurs. Decouvrez des strategies concretes de donnees first-party qui aident les concessionnaires a batir des relations clients directes maintenir la performance publicitaire et perenniser leur marketing digital dans un monde sans cookies tiers.;341;;Strategies first-party pour concessionnaires auto post-cookie. Batissez des relations clients directes et perennisez votre marketing digital.;140;
DESC_TROP_LONGUE;blog/fr/first-party-data-automotive-dealerships-post-cookie.mdx;FR;Decouvrez comment les concessions automobiles peuvent exploiter les donnees first-party pour maintenir des relations clients efficaces dans un monde sans cookies tiers. Guide pratique avec strategies de collecte CRM et conformite RGPD.;235;;Guide donnees first-party pour concessions auto. Strategies de collecte CRM et conformite RGPD dans un monde post-cookie.;120;
DESC_TROP_LONGUE;blog/fr/voice-search-optimization-automotive-dealerships.mdx;FR;Decouvrez comment les concessionnaires automobiles peuvent optimiser la recherche vocale et capturer les requetes a proximite a forte intention grace au balisage schema aux mots-cles conversationnels et aux strategies SEO locales.;227;;Optimisez la recherche vocale pour concessions auto. Schema markup mots-cles conversationnels et SEO local.;105;
DESC_TROP_LONGUE;blog/en/ai-powered-content-personalization-dynamic-website-abm.mdx;EN;Learn how AI-driven content personalization transforms static B2B websites into dynamic account-specific experiences that accelerate ABM pipeline velocity and boost conversion rates by up to 68 percent.;192;;AI transforms B2B sites into dynamic ABM experiences. Accelerate pipeline velocity and boost conversions by 68 percent.;110;
DESC_TROP_LONGUE;blog/en/first-party-data-auto-dealerships-post-cookie.mdx;EN;The cookieless future is reshaping how auto dealerships reach and convert car buyers. Discover actionable first-party data strategies that help dealerships build direct customer relationships maintain advertising performance and future-proof their digital marketing in a world without third-party cookies.;298;;First-party data strategies for auto dealerships post-cookie. Build direct customer relationships and future-proof digital marketing.;135;
DESC_TROP_LONGUE;blog/en/first-party-data-automotive-dealerships-post-cookie.mdx;EN;Learn how automotive dealerships can leverage first-party data to maintain effective customer relationships in a cookieless world. Practical guide with collection strategies CRM integration and GDPR compliance.;210;;First-party data guide for auto dealerships. Collection strategies CRM integration and GDPR compliance in a cookieless world.;122;
DESC_TROP_LONGUE;blog/en/voice-search-optimization-automotive-dealerships.mdx;EN;Learn how automotive dealerships can optimize for voice search and capture high-intent near me queries through schema markup conversational keywords and local SEO strategies.;174;;Optimize voice search for auto dealers. Capture near me queries with schema markup and local SEO strategies.;106;
DESC_TROP_LONGUE;case-studies/en/dmd-group.mdx;EN;How we helped DMD Group a major automotive dealer network achieve remarkable growth through an integrated digital marketing strategy across SEO paid media and local advertising.;181;;DMD Group achieved remarkable growth with integrated digital marketing: SEO paid media and local advertising.;108;
DESC_TROP_LONGUE;case-studies/en/vulcain-group.mdx;EN;How we helped Vulcain Group a multi-brand automotive dealer network build a comprehensive digital presence and generate high-quality leads across their dealership locations.;172;;Vulcain Group built comprehensive digital presence and generated quality leads across dealership locations.;104;
DESC_TROP_LONGUE;case-studies/en/genesys.mdx;EN;How we helped Genesys a global leader in cloud customer experience solutions amplify their market presence and drive meaningful conversations with enterprise prospects through strategic ABM.;188;;Genesys amplified market presence and drove enterprise conversations through strategic ABM campaigns.;100;
DESC_COURTE;services/en/seo.mdx;EN;Get your website to the top of search results with AI-enhanced keyword strategies technical optimization and content that ranks.;130;;Dominate search results with AI-powered SEO. Strategic keywords technical optimization and content that ranks for sustainable organic growth.;140;
DESC_COURTE;services/fr/seo.mdx;FR;Propulsez votre site en tete des resultats Google avec des strategies de mots-cles optimisees par l IA l optimisation technique et du contenu qui se classe.;160;;Propulsez votre site en tete de Google. Mots-cles IA optimisation technique et contenu qui se classe pour une croissance organique durable.;140;
